"Unidade";"Grupo Base";"Nome Grupo";"Fonte Recurso";"Recolhimento";"Data";"Situacao";"Guia";"Data Guia";"Valor";"Finalidade";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00566372/2010";"05/03/2010";"Recolhido";"00063/2010";"05/03/2010";"26,00";"Boletos Bancários ano 2010 data efetivação Mar  5 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00631239/2010";"15/03/2010";"Recolhido";"00064/2010";"09/03/2010";"72,05";"Pagamento de Xerox de Programa de Disciplinas,  Historico Escolar e Postagem de Envio via Correio (sedex)";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00577960/2010";"08/03/2010";"Recolhido";"00065/2010";"08/03/2010";"78,00";"Boletos Bancários ano 2010 data efetivação Mar  8 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00592489/2010";"09/03/2010";"Recolhido";"00066/2010";"09/03/2010";"26,00";"Boletos Bancários ano 2010 data efetivação Mar  9 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00631220/2010";"15/03/2010";"Recolhido";"00067/2010";"12/03/2010";"1.550,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00631212/2010";"15/03/2010";"Recolhido";"00068/2010";"12/03/2010";"1.280,00";"Curso de Especialização em Aprendizagem Motora - 4a. Edição - 2010.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00631182/2010";"15/03/2010";"Recolhido";"00069/2010";"12/03/2010";"250,00";"Curso de Difusão - Suplementação Nutricional - 2.010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00631123/2010";"15/03/2010";"Recolhido";"00071/2010";"12/03/2010";"265,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00625085/2010";"11/03/2010";"Recolhido";"00072/2010";"11/03/2010";"78,00";"Boletos Bancários ano 2010 data efetivação Mar 11 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00640629/2010";"12/03/2010";"Recolhido";"00073/2010";"12/03/2010";"308,00";"Boletos Bancários ano 2010 data efetivação Mar 12 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00649650/2010";"17/03/2010";"Recolhido";"00074/2010";"16/03/2010";"640,00";"Curso de Especialização em Aprendizagem Motora - 4a. Edição - 2010.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00649626/2010";"17/03/2010";"Recolhido";"00075/2010";"16/03/2010";"1.167,00";"Cursos Comunitarios";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00649618/2010";"17/03/2010";"Recolhido";"00076/2010";"16/03/2010";"600,00";"Aluno Especial";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00649600/2010";"17/03/2010";"Recolhido";"00077/2010";"16/03/2010";"1.200,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00647089/2010";"17/03/2010";"Recolhido";"00080/2010";"16/03/2010";"10,00";"Copia de Chave";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00647097/2010";"17/03/2010";"Recolhido";"00081/2010";"16/03/2010";"10,00";"Copia de Chave";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00647100/2010";"17/03/2010";"Recolhido";"00082/2010";"16/03/2010";"10,00";"Copia de Chave";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00652090/2010";"15/03/2010";"Recolhido";"00083/2010";"15/03/2010";"334,00";"Boletos Bancários ano 2010 data efetivação Mar 15 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00668744/2010";"16/03/2010";"Recolhido";"00085/2010";"16/03/2010";"260,00";"Boletos Bancários ano 2010 data efetivação Mar 16 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00682623/2010";"17/03/2010";"Recolhido";"00086/2010";"17/03/2010";"544,00";"Boletos Bancários ano 2010 data efetivação Mar 17 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00699313/2010";"22/03/2010";"Recolhido";"00087/2010";"19/03/2010";"6.816,00";"Curso de Especialização em Aprendizagem Motora - 4a. Edição - 2010.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00699305/2010";"22/03/2010";"Recolhido";"00088/2010";"19/03/2010";"1.000,00";"Curso de Difusão - Suplementação Nutricional - 2.010";
